"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 04, 2014","10,677.20","10,612.50","10,705.10","10,572.30","300.10M","0.88%"
"Apr 07, 2014","10,606.20","10,594.10","10,678.20","10,561.30","216.04M","-0.66%"
"Apr 08, 2014","10,480.50","10,611.40","10,626.60","10,384.10","335.48M","-1.19%"
"Apr 09, 2014","10,485.20","10,493.40","10,571.50","10,477.20","241.31M","0.04%"
"Apr 10, 2014","10,336.10","10,523.70","10,536.60","10,326.40","335.98M","-1.42%"
"Apr 11, 2014","10,205.40","10,272.30","10,332.10","10,091.10","366.86M","-1.26%"
"Apr 14, 2014","10,188.20","10,097.70","10,191.30","9,984.30","318.27M","-0.17%"
"Apr 15, 2014","10,103.50","10,199.80","10,247.80","10,071.60","253.74M","-0.83%"
"Apr 16, 2014","10,267.90","10,210.60","10,267.90","10,179.40","217.02M","1.63%"
"Apr 17, 2014","10,292.40","10,290.60","10,316.20","10,184.90","231.00M","0.24%"
"Apr 22, 2014","10,437.80","10,339.10","10,449.00","10,279.70","238.30M","1.41%"
"Apr 23, 2014","10,424.40","10,439.30","10,482.50","10,394.90","258.92M","-0.13%"
"Apr 24, 2014","10,462.00","10,487.00","10,531.10","10,338.70","236.76M","0.36%"
"Apr 25, 2014","10,306.20","10,398.50","10,442.90","10,281.00","191.45M","-1.49%"
"Apr 28, 2014","10,320.90","10,351.30","10,391.30","10,247.90","187.97M","0.14%"
"Apr 29, 2014","10,461.00","10,348.50","10,488.50","10,342.60","285.72M","1.36%"
"Apr 30, 2014","10,459.00","10,424.70","10,500.40","10,397.70","280.91M","-0.02%"
"May 02, 2014","10,474.50","10,453.60","10,541.00","10,441.30","196.33M","0.15%"
"May 05, 2014","10,477.00","10,460.20","10,502.70","10,342.50","208.23M","0.02%"
"May 06, 2014","10,481.40","10,504.90","10,549.20","10,414.80","224.63M","0.04%"
"May 07, 2014","10,413.80","10,402.00","10,494.50","10,371.50","271.54M","-0.64%"
"May 08, 2014","10,591.20","10,448.90","10,597.90","10,412.50","291.31M","1.70%"
"May 09, 2014","10,487.20","10,573.00","10,592.60","10,438.70","324.68M","-0.98%"
"May 12, 2014","10,567.00","10,512.40","10,578.20","10,478.20","243.56M","0.76%"
"May 13, 2014","10,587.20","10,587.30","10,600.90","10,533.40","272.28M","0.19%"
"May 14, 2014","10,613.90","10,602.80","10,639.10","10,521.60","248.10M","0.25%"
"May 15, 2014","10,365.00","10,616.50","10,665.10","10,323.40","409.94M","-2.35%"
"May 16, 2014","10,478.70","10,354.10","10,494.90","10,282.40","312.92M","1.10%"
"May 19, 2014","10,425.50","10,469.70","10,526.00","10,307.30","243.53M","-0.51%"
"May 20, 2014","10,453.80","10,418.40","10,479.00","10,401.60","245.81M","0.27%"
"May 21, 2014","10,531.40","10,407.40","10,547.50","10,364.10","205.71M","0.74%"
"May 22, 2014","10,520.60","10,552.10","10,558.00","10,474.90","205.29M","-0.10%"
"May 23, 2014","10,558.90","10,525.50","10,576.50","10,466.00","159.88M","0.36%"
"May 26, 2014","10,687.50","10,593.80","10,695.50","10,576.30","141.44M","1.22%"
"May 27, 2014","10,714.20","10,669.30","10,744.80","10,659.40","208.49M","0.25%"
"May 28, 2014","10,757.20","10,701.50","10,757.20","10,672.20","236.69M","0.40%"
"May 29, 2014","10,734.80","10,755.70","10,770.30","10,665.00","182.66M","-0.21%"
"May 30, 2014","10,798.70","10,708.10","10,803.40","10,697.80","319.90M","0.60%"
"Jun 02, 2014","10,827.40","10,819.00","10,877.40","10,800.20","196.10M","0.27%"
"Jun 03, 2014","10,776.70","10,838.30","10,873.60","10,744.30","206.17M","-0.47%"
"Jun 04, 2014","10,755.60","10,756.20","10,775.10","10,667.20","193.39M","-0.20%"
"Jun 05, 2014","10,876.40","10,761.00","10,970.00","10,714.20","382.16M","1.12%"
"Jun 06, 2014","11,064.30","10,917.60","11,085.10","10,888.40","338.35M","1.73%"
"Jun 09, 2014","11,164.10","11,089.80","11,188.20","11,057.70","267.30M","0.90%"
"Jun 10, 2014","11,153.50","11,136.60","11,177.60","11,095.60","246.60M","-0.09%"
"Jun 11, 2014","11,074.90","11,134.40","11,167.80","11,045.20","211.58M","-0.70%"
"Jun 12, 2014","11,088.50","11,081.70","11,137.30","11,046.00","186.19M","0.12%"
"Jun 13, 2014","11,113.70","11,079.00","11,134.30","11,010.00","197.26M","0.23%"
"Jun 16, 2014","11,008.20","11,055.00","11,099.20","10,971.70","213.70M","-0.95%"
"Jun 17, 2014","11,058.50","11,031.10","11,093.50","11,013.00","198.94M","0.46%"
"Jun 18, 2014","11,112.30","11,082.40","11,130.80","11,052.70","197.07M","0.49%"
