"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 02, 2014","3,563.57","3,575.60","3,577.03","3,553.65","137.16M","-0.79%"
"Jan 03, 2014","3,538.73","3,564.94","3,567.51","3,537.61","131.82M","-0.70%"
"Jan 06, 2014","3,526.96","3,539.01","3,542.52","3,512.45","223.03M","-0.33%"
"Jan 07, 2014","3,557.85","3,539.29","3,562.99","3,535.50","179.38M","0.88%"
"Jan 08, 2014","3,567.54","3,558.30","3,575.15","3,551.12","192.69M","0.27%"
"Jan 09, 2014","3,552.57","3,576.32","3,579.40","3,541.81","179.71M","-0.42%"
"Jan 10, 2014","3,565.08","3,565.68","3,568.47","3,536.45","166.74M","0.35%"
"Jan 13, 2014","3,512.80","3,559.39","3,572.40","3,499.37","195.29M","-1.47%"
"Jan 14, 2014","3,580.65","3,526.20","3,581.60","3,525.47","185.16M","1.93%"
"Jan 15, 2014","3,609.84","3,593.81","3,615.70","3,592.62","174.79M","0.82%"
"Jan 16, 2014","3,611.29","3,605.43","3,614.66","3,599.87","152.07M","0.04%"
"Jan 17, 2014","3,591.25","3,597.41","3,608.72","3,580.39","282.91M","-0.55%"
"Jan 21, 2014","3,617.70","3,611.62","3,617.70","3,586.05","175.50M","0.74%"
"Jan 22, 2014","3,627.72","3,623.31","3,634.65","3,615.48","180.65M","0.28%"
"Jan 23, 2014","3,613.76","3,612.53","3,613.88","3,588.83","192.04M","-0.38%"
"Jan 24, 2014","3,541.48","3,596.93","3,601.00","3,541.38","228.31M","-2.00%"
"Jan 27, 2014","3,509.02","3,543.50","3,548.48","3,482.89","222.16M","-0.92%"
"Jan 28, 2014","3,505.72","3,484.39","3,509.80","3,483.71","176.90M","-0.09%"
"Jan 29, 2014","3,467.82","3,472.42","3,500.82","3,461.64","222.57M","-1.08%"
"Jan 30, 2014","3,532.41","3,514.25","3,544.21","3,508.01","206.33M","1.86%"
"Jan 31, 2014","3,521.92","3,488.37","3,539.43","3,488.04","240.09M","-0.30%"
"Feb 03, 2014","3,440.50","3,524.23","3,533.48","3,433.64","248.32M","-2.31%"
"Feb 04, 2014","3,470.20","3,460.13","3,480.74","3,449.19","195.45M","0.86%"
"Feb 05, 2014","3,454.89","3,457.04","3,469.35","3,418.88","201.15M","-0.44%"
"Feb 06, 2014","3,497.59","3,465.82","3,502.52","3,465.42","180.88M","1.24%"
"Feb 07, 2014","3,561.91","3,522.33","3,563.14","3,508.82","199.19M","1.84%"
"Feb 10, 2014","3,582.11","3,558.59","3,582.84","3,557.78","151.09M","0.57%"
"Feb 11, 2014","3,621.72","3,587.57","3,628.59","3,585.08","161.47M","1.11%"
"Feb 12, 2014","3,627.36","3,626.14","3,635.92","3,618.06","166.58M","0.16%"
"Feb 13, 2014","3,659.56","3,601.75","3,659.56","3,600.86","234.46M","0.89%"
"Feb 14, 2014","3,663.88","3,652.88","3,671.04","3,643.79","176.52M","0.12%"
"Feb 18, 2014","3,679.43","3,668.99","3,685.18","3,658.64","165.98M","0.42%"
"Feb 19, 2014","3,652.84","3,668.72","3,679.69","3,646.13","168.21M","-0.72%"
"Feb 20, 2014","3,671.93","3,654.85","3,676.89","3,640.63","175.39M","0.52%"
"Feb 21, 2014","3,662.60","3,683.42","3,687.16","3,661.46","214.65M","-0.25%"
"Feb 24, 2014","3,685.81","3,670.07","3,701.27","3,668.34","177.99M","0.63%"
"Feb 25, 2014","3,679.14","3,689.68","3,697.60","3,669.53","155.22M","-0.18%"
"Feb 26, 2014","3,676.60","3,691.84","3,702.09","3,663.75","157.05M","-0.07%"
"Feb 27, 2014","3,699.80","3,678.31","3,704.65","3,672.64","160.77M","0.63%"
"Feb 28, 2014","3,696.10","3,703.48","3,722.38","3,664.83","206.27M","-0.10%"
"Mar 03, 2014","3,668.37","3,657.32","3,678.38","3,637.66","154.17M","-0.75%"
"Mar 04, 2014","3,719.93","3,710.19","3,723.00","3,706.82","158.77M","1.41%"
"Mar 05, 2014","3,727.18","3,721.53","3,732.98","3,715.38","148.40M","0.19%"
"Mar 06, 2014","3,720.93","3,735.85","3,738.32","3,709.41","158.46M","-0.17%"
"Mar 07, 2014","3,703.40","3,736.93","3,737.36","3,686.94","154.61M","-0.47%"
"Mar 10, 2014","3,706.34","3,702.14","3,709.78","3,683.97","145.08M","0.08%"
"Mar 11, 2014","3,691.50","3,715.89","3,725.71","3,681.37","144.73M","-0.40%"
"Mar 12, 2014","3,707.06","3,678.36","3,707.20","3,661.87","141.52M","0.42%"
"Mar 13, 2014","3,651.49","3,719.36","3,720.61","3,636.79","181.16M","-1.50%"
"Mar 14, 2014","3,627.87","3,643.21","3,656.94","3,626.86","202.29M","-0.65%"
"Mar 17, 2014","3,662.51","3,653.19","3,678.32","3,651.14","147.88M","0.95%"
"Mar 18, 2014","3,706.62","3,667.39","3,708.26","3,664.79","141.99M","1.20%"
"Mar 19, 2014","3,682.74","3,705.51","3,709.01","3,661.06","150.16M","-0.64%"
"Mar 20, 2014","3,693.97","3,675.61","3,705.31","3,665.83","147.86M","0.30%"
"Mar 21, 2014","3,653.07","3,711.47","3,717.36","3,643.35","477.45M","-1.11%"
"Mar 24, 2014","3,617.39","3,665.38","3,665.58","3,585.15","223.54M","-0.98%"
"Mar 25, 2014","3,629.73","3,640.26","3,659.59","3,600.65","186.71M","0.34%"
"Mar 26, 2014","3,582.89","3,645.73","3,654.69","3,582.84","197.22M","-1.29%"
"Mar 27, 2014","3,563.13","3,578.53","3,594.07","3,543.07","199.59M","-0.55%"
"Mar 28, 2014","3,571.49","3,576.18","3,609.08","3,560.58","160.41M","0.23%"
"Mar 31, 2014","3,595.74","3,598.08","3,618.42","3,593.70","172.74M","0.68%"
"Apr 01, 2014","3,658.40","3,615.91","3,659.16","3,614.16","173.66M","1.74%"
"Apr 02, 2014","3,665.99","3,670.33","3,676.36","3,649.79","154.10M","0.21%"
"Apr 03, 2014","3,637.58","3,670.43","3,675.70","3,617.41","175.45M","-0.77%"
"Apr 04, 2014","3,539.38","3,659.92","3,663.78","3,532.28","269.94M","-2.70%"
