"","price","amount"
"165","10320.11000000","0.01109100"
"166","10320.22000000","2.00000000"
"167","10320.23000000","0.27083000"
"168","10320.35000000","0.05000000"
"169","10320.47000000","0.01109100"
"170","10320.54000000","1.80253600"
"171","10320.73000000","0.01107000"
"172","10320.83000000","0.01106300"
"173","10320.92000000","0.01099400"
"174","10321.32000000","0.01098000"
"175","10321.61000000","0.02000000"
"176","10322.00000000","2.00000000"
"177","10322.22000000","0.01096700"
"178","10322.36000000","0.24219300"
"179","10322.37000000","0.00126500"
"180","10322.45000000","0.01095300"
"181","10322.71000000","0.01099200"
"182","10322.80000000","13.20000000"
"183","10322.94000000","0.00201500"
"184","10322.97000000","0.00134300"
"185","10323.03000000","0.03849000"
"186","10323.29000000","0.00448500"
"187","10324.22000000","0.01094500"
"188","10324.60000000","2.00000000"
"189","10324.61000000","0.01000000"
"190","10324.71000000","0.01089000"
"191","10324.76000000","0.01587400"
"192","10324.79000000","0.00300000"
"193","10324.81000000","0.02413700"
"194","10324.82000000","0.04844000"
"195","10325.00000000","0.00104300"
"196","10325.20000000","0.00341800"
"197","10325.25000000","0.01089000"
"198","10325.51000000","0.02000000"
"199","10325.76000000","0.11645100"
"200","10325.81000000","0.01000000"
"201","10326.00000000","0.12508700"
"202","10326.27000000","0.01082200"
"203","10326.37000000","0.17758700"
"204","10326.50000000","0.01082200"
"205","10326.71000000","0.00119100"
"206","10326.88000000","0.00242400"
"207","10327.13000000","0.00101600"
"208","10327.53000000","0.01085000"
"209","10327.83000000","0.00380300"
"210","10327.97000000","0.01087700"
"211","10328.00000000","0.00126400"
"212","10328.28000000","0.00193900"
"213","10328.60000000","2.44975400"
"214","10328.68000000","0.01000000"
"215","10328.73000000","1.42967700"
"216","10329.00000000","0.00175000"
"217","10329.11000000","0.00150000"
"218","10330.00000000","2.83320600"
"219","10330.31000000","0.19708400"
"220","10330.69000000","0.01070000"
"221","10330.98000000","0.04552600"
"222","10331.13000000","0.01070000"
"223","10331.20000000","0.50000000"
"224","10331.22000000","0.00109900"
"225","10331.35000000","0.01325400"
"226","10331.50000000","0.01070000"
"227","10331.90000000","0.01070000"
"228","10331.98000000","0.01000000"
"229","10332.03000000","0.25600000"
"230","10332.04000000","0.36400000"
"231","10332.19000000","0.01066000"
"232","10332.56000000","0.01066000"
"233","10332.61000000","0.00108700"
"234","10332.90000000","0.04250000"
"235","10333.00000000","0.03001500"
"236","10333.06000000","0.01069800"
"237","10333.07000000","0.01056600"
"238","10333.31000000","0.01000000"
"239","10333.58000000","0.01049900"
"240","10333.66000000","0.00126400"
"241","10333.86000000","0.00166900"
"242","10334.72000000","0.25000000"
"243","10334.95000000","0.01049900"
"244","10335.00000000","0.00631100"
"245","10335.11000000","0.00341400"
"246","10335.15000000","0.01051100"
"247","10335.29000000","0.17210000"
"248","10335.52000000","0.00377800"
"249","10335.53000000","0.01051100"
"250","10335.71000000","0.00300000"
"251","10335.80000000","0.00813500"
"252","10335.91000000","0.00298100"
"253","10335.94000000","0.00569400"
"254","10336.03000000","0.01050800"
"255","10336.06000000","0.00118900"
"256","10336.35000000","0.00101500"
"257","10336.73000000","0.00179700"
