"","price","amount"
"165","10281.00000000","2.01756200"
"166","10280.91000000","0.00193800"
"167","10280.58000000","0.02330300"
"168","10280.55000000","0.40800000"
"169","10280.42000000","0.00325500"
"170","10280.39000000","0.00125100"
"171","10280.00000000","0.44333700"
"172","10279.78000000","0.00349300"
"173","10279.53000000","0.01810900"
"174","10279.32000000","0.00492300"
"175","10279.28000000","0.00126700"
"176","10279.10000000","0.00203500"
"177","10278.99000000","0.00101800"
"178","10278.91000000","0.00167300"
"179","10278.77000000","0.55640000"
"180","10278.70000000","0.01954700"
"181","10278.57000000","0.60000000"
"182","10278.48000000","0.00150000"
"183","10278.18000000","0.00119300"
"184","10278.00000000","0.00282800"
"185","10277.88000000","0.00437000"
"186","10277.31000000","0.00120700"
"187","10277.09000000","0.01000000"
"188","10277.00000000","1.77110100"
"189","10276.92000000","0.00110000"
"190","10276.30000000","0.12248800"
"191","10276.22000000","3.73543900"
"192","10276.00000000","1.00000000"
"193","10275.32000000","0.06113700"
"194","10275.22000000","0.04250000"
"195","10275.21000000","0.00117300"
"196","10275.07000000","0.01000000"
"197","10275.00000000","0.12248800"
"198","10274.96000000","0.00342400"
"199","10274.77000000","0.00570500"
"200","10274.69000000","0.00345600"
"201","10274.20000000","0.39415200"
"202","10274.00000000","1.02129300"
"203","10273.67000000","0.01000000"
"204","10273.66000000","0.00126800"
"205","10273.50000000","0.01100000"
"206","10273.48000000","0.00134500"
"207","10273.47000000","0.02000000"
"208","10273.29000000","0.01262000"
"209","10273.00000000","0.00097400"
"210","10272.97000000","0.02047500"
"211","10272.69000000","2.00000000"
"212","10272.68000000","0.25000000"
"213","10272.48000000","0.01000000"
"214","10272.42000000","0.00194400"
"215","10272.26000000","0.00110200"
"216","10272.15000000","0.00460000"
"217","10272.00000000","0.14225000"
"218","10271.78000000","0.08280000"
"219","10271.70000000","0.04000000"
"220","10271.69000000","0.00419200"
"221","10271.54000000","0.01942200"
"222","10271.50000000","0.00690400"
"223","10271.42000000","0.00261100"
"224","10271.40000000","0.00630000"
"225","10270.80000000","0.00111200"
"226","10270.58000000","0.00105900"
"227","10270.43000000","0.00109100"
"228","10270.33000000","0.00600200"
"229","10270.30000000","0.00133000"
"230","10270.00000000","0.25612800"
"231","10269.99000000","0.30960000"
"232","10269.83000000","0.00101900"
"233","10269.76000000","0.11657500"
"234","10269.73000000","0.00377800"
"235","10269.30000000","0.00097400"
"236","10269.13000000","0.00154600"
"237","10269.09000000","0.00134500"
"238","10268.88000000","0.00119400"
"239","10268.63000000","1.00000000"
"240","10268.58000000","0.00317300"
"241","10268.05000000","0.00126900"
"242","10268.04000000","0.00880000"
"243","10267.87000000","0.00602400"
"244","10267.71000000","0.01196000"
"245","10267.48000000","0.00167500"
"246","10267.41000000","0.00150000"
"247","10267.13000000","0.01196000"
"248","10267.00000000","0.02068000"
"249","10266.72000000","0.00941700"
"250","10266.69000000","0.00170000"
"251","10266.66000000","0.01101100"
"252","10266.49000000","0.01197500"
"253","10266.37000000","0.03550000"
"254","10266.25000000","3.20691500"
"255","10266.23000000","0.00110000"
"256","10266.20000000","0.01197500"
"257","10265.99000000","0.01948200"
"258","10265.95000000","0.01197500"
"259","10265.81000000","0.01000000"
"260","10265.80000000","0.00146100"
"261","10265.78000000","0.05844700"
"262","10265.50000000","0.02000000"
"263","10265.28000000","0.01383300"
"264","10265.24000000","0.00152300"
"265","10265.10000000","0.00342800"
"266","10265.00000000","0.04319300"
"267","10264.67000000","0.20000000"
"268","10264.62000000","0.01058400"
"269","10264.30000000","2.00000000"
"270","10264.28000000","0.00300000"
"271","10264.06000000","0.00120500"
"272","10263.62000000","0.00194600"
"273","10263.33000000","0.02330000"
"274","10263.25000000","0.01207400"
"275","10263.15000000","0.01419200"
"276","10263.00000000","0.00816400"
"277","10262.93000000","0.00118000"
"278","10262.72000000","0.01531400"
"279","10262.67000000","0.00292400"
"280","10262.43000000","0.00126900"
"281","10262.28000000","0.00603700"
"282","10262.20000000","0.00430000"
"283","10262.04000000","0.01353700"
"284","10262.00000000","0.00261000"
"285","10261.70000000","0.03211100"
"286","10261.67000000","0.00365400"
"287","10261.41000000","0.01206700"
"288","10261.19000000","0.01914600"
"289","10261.16000000","0.00157100"
"290","10261.10000000","0.01162100"
"291","10261.00000000","0.00100400"
"292","10260.67000000","0.00102000"
"293","10260.50000000","0.01223200"
